Category	Word	Meaning
Adverbs & Adjectives	Poignantly	가슴 아프게, 감동적으로
Adverbs & Adjectives	Potentially	잠재적으로, 어쩌면
Adverbs & Adjectives	Precautionary	예방의, 조심하는
Adverbs & Adjectives	Precisely	정확하게, 신중하게
Adverbs & Adjectives	Preliminary	예비의, 준비의
Adverbs & Adjectives	Prerequisite	필수의, 전제가 되는
Adverbs & Adjectives	Prestigous	명성 있는, 일류의
Adverbs & Adjectives	Primarily	주로, 원래
Adverbs & Adjectives	Profoundly	깊숙이, 대단히
Adverbs & Adjectives	Prominently	두드러지게, 현저히
Adverbs & Adjectives	Promptly	신속하게, 지체 없이
Adverbs & Adjectives	Provisional	임시의, 잠정적인
Adverbs & Adjectives	Qualitative	질적인
Adverbs & Adjectives	Quantitative	양적인
Adverbs & Adjectives	Radically	철저하게, 근본적으로
Adverbs & Adjectives	Readily	손쉽게, 기꺼이
Adverbs & Adjectives	Redundant	불필요한, 정리해고된
Adverbs & Adjectives	Reluctantly	마지못해, 꺼리며
Adverbs & Adjectives	Remarkably	현저하게, 매우
Adverbs & Adjectives	Reputable	평판이 좋은
Customer Service & Health	Adhere	고수하다, 준수하다
Customer Service & Health	Adjustment	조정, 수정, 가감
Customer Service & Health	Administrative	행정의, 관리의
Customer Service & Health	Adverse reaction	부작용, 유해 반응
Customer Service & Health	Advocate	옹호하다, 지지자
Customer Service & Health	Alternative	대안, 대체의
Customer Service & Health	Ambulatory	외래의, 보행의
Customer Service & Health	Amenity	편의 시설
Customer Service & Health	Anatomy	해부학, 구조
Customer Service & Health	Antibiotic	항생제
Customer Service & Health	Anticipate	예상하다, 기대하다
Customer Service & Health	Antiseptic	소독제, 방부제
Customer Service & Health	Apologetic	미안해하는, 사과하는
Customer Service & Health	Appointment	예약, 임명
Customer Service & Health	Appraise	평가하다, 감정하다
Customer Service & Health	Approval	승인, 인가
Customer Service & Health	Assurance	보장, 확언
Customer Service & Health	Asymptomatic	증상이 없는
Customer Service & Health	Attendance	참석, 출석
Customer Service & Health	Attentive	주의 깊은, 세심한
Customer Service & Health	Attribute	~의 탓으로 돌리다
Customer Service & Health	At할인	할인가로 (at a discount)
Customer Service & Health	Auditorium	강당, 청중석
Customer Service & Health	Authorize	권한을 부여하다
Customer Service & Health	Bacteria	박테리아, 세균
Customer Service & Health	Beneficial	유익한, 이로운
Customer Service & Health	Beneficiary	수혜자
Customer Service & Health	Biopsy	생체 검사, 조직 검사
Customer Service & Health	Brief	간단한, 보고하다
Customer Service & Health	Cancellation	취소, 해제
Customer Service & Health	Cardiology	심장 의학
Customer Service & Health	Caregiver	간병인, 돌보는 사람
Customer Service & Health	Cater to	~의 요구를 들어주다
Customer Service & Health	Chronic	만성적인
Customer Service & Health	Claim	청구하다, 주장하다
Customer Service & Health	Clarification	설명, 해명
Customer Service & Health	Clientele	단골손님, 모든 의뢰인
Customer Service & Health	Clinical trial	임상 시험
Customer Service & Health	Coincidence	우연의 일치
Customer Service & Health	Collaboration	협력, 공동 연구
Customer Service & Health	Commendable	칭찬할 만한
Customer Service & Health	Compensation	보상, 배상
Customer Service & Health	Competent	유능한, 역량 있는
Customer Service & Health	Complaint	불만, 항의
Customer Service & Health	Complimentary	무료의, 칭찬하는
Customer Service & Health	Comply	준수하다, 따르다
Customer Service & Health	Comprehensive	종합적인, 포괄적인
Customer Service & Health	Conciliation	화해, 달램
Customer Service & Health	Confidential	기밀의, 비밀의
Customer Service & Health	Consent	동의, 허락
Customer Service & Health	Contagious	전염성의
Customer Service & Health	Contribution	기여, 공헌
Customer Service & Health	Courtesy	예의, 공손, 무료의
Customer Service & Health	Customer loyalty	고객 충성도
Customer Service & Health	Deadlock	교착 상태
Customer Service & Health	Decline	거절하다, 감소하다
Customer Service & Health	Defective	결함이 있는
Customer Service & Health	Defer	미루다, 연기하다
Customer Service & Health	Deficiency	결핍, 부족
Customer Service & Health	Delay	미루다, 지연
Customer Service & Health	Deliberate	신중한, 고의적인
Customer Service & Health	Delivery	배송, 배달
Customer Service & Health	Demographics	인구 통계학적 데이터
Customer Service & Health	Demonstrate	입증하다, 설명하다
Customer Service & Health	Dental coverage	치과 보험 적용
Customer Service & Health	Department	부서, 학과
Customer Service & Health	Dermatology	피부과
Customer Service & Health	Description	설명, 서술
Customer Service & Health	Designate	지정하다, 지명하다
Customer Service & Health	Deteriorate	악화되다
Customer Service & Health	Diagnosis	진단, 진찰
Customer Service & Health	Diagnostic	진단의
Customer Service & Health	Diplomat	외교관
Customer Service & Health	Disability	장애, 무능력
Customer Service & Health	Disaster	재난, 참사
Customer Service & Health	Discharge	퇴원시키다, 방출하다
Customer Service & Health	Disclaim	부인하다, 권리를 포기하다
Customer Service & Health	Discontinue	중단하다
Customer Service & Health	Discrepancy	불일치, 차이
Customer Service & Health	Discretion	재량, 신중함
Customer Service & Health	Disinfectant	소독제
Customer Service & Health	Dismissal	해고, 퇴출
Customer Service & Health	Disparage	폄하하다, 얕보다
Customer Service & Health	Disparity	차이, 불균형
Customer Service & Health	Displace	대체하다, 쫓아내다
Customer Service & Health	Disqualify	자격을 박탈하다
Customer Service & Health	Disrupt	방해하다, 중단시키다
Customer Service & Health	Dissension	불화, 알력
Customer Service & Health	Diversification	다각화, 다양성
Customer Service & Health	Dosage	복용량, 투여량
Customer Service & Health	Downsize	규모를 축소하다
Customer Service & Health	Drastic	과감한, 급격한
Customer Service & Health	Due diligence	상당한 주의, 실사
Customer Service & Health	Efficacy	효험, 효능
Customer Service & Health	Efficient	효율적인
Customer Service & Health	Embezzlement	횡령, 유용
Customer Service & Health	Emergency room	응급실
Customer Service & Health	Empathy	공감, 감정 이입
Customer Service & Health	Employment	고용, 취업
Customer Service & Health	Empowerment	권한 이양, 자율권
Customer Service & Health	Enact	법률을 제정하다
Customer Service & Health	Endorsement	지지, 보증
Customer Service & Health	Enforce	집행하다, 강요하다
Customer Service & Health	Engagement	참여, 약속
Customer Service & Health	Ensure	보장하다, 확실하게 하다
Customer Service & Health	Epidemic	유행병, 전염병
Customer Service & Health	Equipment	장비, 용품
Customer Service & Health	Equity	공평, 공정
Customer Service & Health	Erroneous	잘못된, 틀린
Customer Service & Health	Escalate	확대되다, 고조되다
Customer Service & Health	Ethics	윤리, 도덕
Customer Service & Health	Ethnic	민족의, 인종의
Customer Service & Health	Evaluation	평가
Customer Service & Health	Exceed	초과하다, 능가하다
Customer Service & Health	Executive	임원, 경영진
Customer Service & Health	Expatriate	국외 거주자
Customer Service & Health	Expedite	신속히 처리하다
Customer Service & Health	Expense	비용, 경비
Customer Service & Health	Expiration	만료, 만기
Customer Service & Health	Exploitation	착취, 이용
Customer Service & Health	Expulsion	퇴출, 추방
Customer Service & Health	Fabricate	위조하다, 조작하다
Customer Service & Health	Facility	시설, 편의
Customer Service & Health	Faction	파벌, 파당
Customer Service & Health	Favouritism	편애, 정실주의
Customer Service & Health	Feasible	실행 가능한
Customer Service & Health	Feedback	피드백, 의견
Customer Service & Health	Fiduciary	수탁자의, 신용의
Customer Service & Health	Fluctuation	변동, 오르내림
Customer Service & Health	Fringe benefit	부가 급여, 복리후생
Customer Service & Health	Frontline	최전선의, 고객 접점의
Customer Service & Health	Grievance	고충, 불만
Customer Service & Health	Gross negligence	중과실
Customer Service & Health	Handling	처리, 취급
Customer Service & Health	Harassment	괴롭힘, 희롱
Customer Service & Health	Health coverage	의료 보험 혜택
Customer Service & Health	Hierarchy	계급제, 지배층
Customer Service & Health	Hinder	방해하다, 저지하다
Customer Service & Health	Hospitalization	입원
Customer Service & Health	Hygiene	위생
Customer Service & Health	Impartiality	공정무사, 담판
Customer Service & Health	Impasse	교착 상태, 궁지
Customer Service & Health	Impeachment	탄핵, 비난
Customer Service & Health	Implicate	연루시키다, 시사하다
Customer Service & Health	Inclusivity	포용성
Customer Service & Health	Inconvenience	불편
Customer Service & Health	Indemnity	보상, 면책
Customer Service & Health	Indiscretion	무분별한 행동
Customer Service & Health	Induction	취임, 안내 교육
Customer Service & Health	Infirmary	양호실, 병원
Customer Service & Health	Infringement	위반, 침해
Customer Service & Health	Injunction	명령, 금지 명령
Customer Service & Health	Inquiry	문의, 질문
Customer Service & Health	Insinuate	넌지시 비치다
Customer Service & Health	Insolvency	파산 상태
Customer Service & Health	Inspection	점검, 검사
Customer Service & Health	Installation	설치
Customer Service & Health	Insurance premium	보험료
Customer Service & Health	Intensive care	중환자 치료
Customer Service & Health	Intervention	개입, 중재
Customer Service & Health	Intimidation	위협, 협박
Customer Service & Health	Invoice	송장, 청구서
Customer Service & Health	Jeopardize	위태롭게 하다
Customer Service & Health	Job security	고용 안정성
Customer Service & Health	Jurisdiction	관할권, 사법권
Customer Service & Health	Kinship	친족 관계, 연대감
Customer Service & Health	Labor union	노동조합
Customer Service & Health	Layoff	일시 해고
Customer Service & Health	Leadership	지도력, 리더십
Customer Service & Health	Leave of absence	휴가
Economy & Global	Abolish	폐지하다
Economy & Global	Accomplish	성취하다, 완수하다
Economy & Global	Accumulate	축적하다, 늘어나다
Economy & Global	Affluence	풍요, 부유함
Economy & Global	Aggregate	합계의, 총액
Economy & Global	Allocation	할당량, 배분
Economy & Global	Antitrust	독점 금지의
Economy & Global	Austerity	긴축 경제, 엄격함
Economy & Global	Barter	물물교환하다
Economy & Global	Benchmark	기준점, 벤치마크
Economy & Global	Bilateral	양자간의, 쌍방의
Economy & Global	Booming	호황을 맞는, 번창하는
Economy & Global	Carbon footprint	탄소 발자국
Economy & Global	Catalyst	촉매제, 자극제
Economy & Global	Circumscribe	제한하다, 억제하다
Economy & Global	Cohesion	결속, 유대감
Economy & Global	Commodity	원자재, 기초 상품
Economy & Global	Conducive	~에 도움이 되는
Economy & Global	Congestion	혼잡, 정체
Economy & Global	Consolidated	통합된, 결합된
Economy & Global	Consortium	컨소시엄, 연합체
Economy & Global	Contaminate	오염시키다
Economy & Global	Contingency	불측의 사태, 비상사태
Economy & Global	Crude oil	원유
Economy & Global	Customs duty	관세
Economy & Global	Deficit	적자, 부족액
Economy & Global	Deflation	디플레이션, 물가 하락
Economy & Global	Deplete	고갈시키다
Economy & Global	Depreciation	가치 하락, 화폐 가치 저하
Economy & Global	Deregulation	규제 완화
Economy & Global	Derivative	파생 상품
Economy & Global	Devaluation	평가 절하
Economy & Global	Diffusion	확산, 유포
Economy & Global	Disaster relief	재난 구호
Economy & Global	Disinvestment	투자 철회
Economy & Global	Divestiture	투자 회수, 자산 매각
Economy & Global	Domestic market	내수 시장
Economy & Global	Duopoly	복점, 2사 독점
Economy & Global	Durable goods	내구재
Economy & Global	Ecological	생태계의, 친환경적인
Economy & Global	Economic indicator	경제 지표
Economy & Global	Efficiency	효율성
Economy & Global	Elasticity	탄력성
Economy & Global	Embargo	통상 금지령
Economy & Global	Emission	배출, 방출
Economy & Global	Energy efficiency	에너지 효율성
Economy & Global	Enhance	향상시키다, 높이다
Economy & Global	Environmental impact	환경적 영향
Economy & Global	Equilibrium	평형, 균형 상태
Economy & Global	Equivalent	동등한, 가치에 상당하는
Economy & Global	Erode	침식하다, 약화시키다
Economy & Global	Estate tax	상속세
Economy & Global	Evasion	회피, 탈세
Economy & Global	Exchange rate	환율
Economy & Global	Exclusivity	독점권
Economy & Global	Expenditure	지출, 소비
Economy & Global	Export credit	수출 신용
Economy & Global	Expropriation	징발, 수용
Economy & Global	Extravagant	사치스러운, 과도한
Economy & Global	Facilitate	용이하게 하다, 촉진하다
Economy & Global	Fiscal year	회계 연도
Economy & Global	Fixed asset	고정 자산
Economy & Global	Foreclosure	압류, 담보권 행사
Economy & Global	Foreign exchange	외환
Economy & Global	Forfeiture	몰수, 박탈
Economy & Global	Free trade	자유 무역
Economy & Global	Friction	갈등, 마찰
Economy & Global	Futures contract	선물 계약
Economy & Global	Generate	발생시키다, 창출하다
Economy & Global	Global warming	지구 온난화
Economy & Global	Glut	과잉 공급
Economy & Global	Gross margin	매출 총이익
Economy & Global	Hazardous waste	유해 폐기물
Economy & Global	Hedge fund	헤지 펀드
Economy & Global	Holding company	지주 회사
Economy & Global	Homogeneous	동질적인
Economy & Global	Hyperinflation	초인플레이션
Economy & Global	Hypothesis	가설, 추정
Economy & Global	Impediment	방해, 장애물
Economy & Global	Import quota	수입 할당제
Economy & Global	Incentive fee	성과 수수료
Economy & Global	Inception	시작, 개시
Economy & Global	Income statement	손익계산서
Economy & Global	Indebtedness	부채, 채무액
Economy & Global	Industrialize	산업화하다
Economy & Global	Inertia	관성, 무력증
Economy & Global	Inhibit	억제하다, 방해하다
Economy & Global	Initial public offering	기업 공개(IPO)
Economy & Global	Innovation	혁신
Economy & Global	Insider trading	내부자 거래
Economy & Global	Institutional investor	기관 투자자
Economy & Global	Insulate	절연하다, 격리하다
Economy & Global	Intangible asset	무형 자산
Economy & Global	Integration	통합
Economy & Global	Intellectual property	지식 재산권
Economy & Global	Interest rate	금리, 이자율
Economy & Global	Intermediary	중개인, 중간상
Economy & Global	Inventory turnover	재고 회전율
Economy & Global	Investment bank	투자 은행
Economy & Global	Joint venture	합작 투자
Economy & Global	Leasehold	임차권
Economy & Global	Legal tender	법정 통화
Economy & Global	Legislation	입법, 법률
Economy & Global	Legitimacy	합법성, 정당성
Economy & Global	Leniency	관대함, 자비
Economy & Global	Letter of credit	신용장
Economy & Global	Leverage	영향력, 활용하다
Economy & Global	Liability	법적 책임, 부채
Economy & Global	Lien	유치권, 담보권
Economy & Global	Line of credit	신용 한도액
Economy & Global	Liquid asset	유동 자산
Economy & Global	Liquidation	청산, 정리
Economy & Global	Litigant	소송 당사자
Economy & Global	Litigation	소송
Economy & Global	Lobbying	로비 활동
Economy & Global	Macroeconomics	거시경제학
Economy & Global	Malfeasance	불법 행위, 부정행위
Economy & Global	Mandate	명령, 권한을 주다
Economy & Global	Market capitalization	시가 총액
Economy & Global	Maturity	만기
Economy & Global	Mediation	조정, 중재
Economy & Global	Merger	합병
Economy & Global	Microeconomics	미시경제학
Economy & Global	Minimize	최소화하다
Economy & Global	Misconduct	비행, 위법 행위
Economy & Global	Modulate	조절하다, 바꾸다
Economy & Global	Monetary policy	통화 정책
Economy & Global	Monopoly	독점
Economy & Global	Moratorium	모라토리엄, 지급 유예
Economy & Global	Mortgage	담보 대출
Economy & Global	Mutual fund	뮤추얼 펀드
Economy & Global	Negligence	태만, 과실
Economy & Global	Nepotism	친족 등용, 족벌주의
Economy & Global	Net profit	순이익
Economy & Global	Niche market	틈새시장
Economy & Global	Nominal value	액면가
Economy & Global	Non-binding	구속력이 없는
Economy & Global	Non-profit	비영리의
Economy & Global	Notary public	공증인
Economy & Global	Obligation	의무, 채무
Economy & Global	Obligee	채권자
Economy & Global	Obligor	채무자
Economy & Global	Offshore banking	역외 금융
Economy & Global	Oligopoly	과점
Economy & Global	Option contract	옵션 계약
Economy & Global	Out-of-court settlement	법정 밖 합의
Economy & Global	Outstanding debt	미상환 부채
Economy & Global	Overdraft	마이너스 통장, 당좌 대월
Economy & Global	Overdue	연체된
Economy & Global	Oversight	실수, 간과, 감독
Economy & Global	Ozone layer	오존층
Economy & Global	Par value	액면가
Economy & Global	Patent infringement	특허 침해
Economy & Global	Penalty clause	위약금 조항
Economy & Global	Per capita income	1인당 소득
Economy & Global	Plaintiff	원고, 고소인
Economy & Global	Plunge	급락하다
Economy & Global	Pollutant	오염 물질
Economy & Global	Portfolio investment	포트폴리오 투자
Economy & Global	Power of attorney	위임장
Economy & Global	Precedent	선례, 판례
Economy & Global	Preempt	선점하다
Economy & Global	Preferred stock	우선주
Economy & Global	Premium	보험료, 할증금
Economy & Global	Principal	원금
Economy & Global	Privatization	민영화
Economy & Global	Procurement	조달, 획득
Economy & Global	Profit margin	이익률
Economy & Global	Promissory note	약속 어음
Economy & Global	Prosecution	기소, 고발
Economy & Global	Prospectus	투자 설명서
Economy & Global	Protocol	의정서, 규약
Economy & Global	Provisional patent	임시 특허
Finance & Legal	Acceleration clause	기한 이익 상실 조항
Finance & Legal	Accrued interest	미지급 이자, 경과 이자
Finance & Legal	Acknowledge	수령을 알리다, 인정하다
Finance & Legal	Acquisition	인수, 획득
Finance & Legal	Act of God	천재지변
Finance & Legal	Adhere to	~을 고수하다, 지키다
Finance & Legal	Adjournment	휴회, 회의 연기
Finance & Legal	Adjudication	판결, 선고
Finance & Legal	Admissible	증거로 인정되는
Finance & Legal	Affidavit	선서 진술서
Finance & Legal	Affiliate	계열사, 제휴하다
Finance & Legal	Amended	수정된, 개정된
Finance & Legal	Amortization	할부 상환, 감가상각
Finance & Legal	Annuity	연금
Finance & Legal	Arbitrage	차익 거래
Finance & Legal	Arrears	연체금, 체납금
Finance & Legal	Asset allocation	자산 배분
Finance & Legal	Asymmetric	비대칭적인
Finance & Legal	Attestation	증명, 입증
Finance & Legal	Audit	회계 감사, 심사
Finance & Legal	Bailout	긴급 구제 금융
Finance & Legal	Balance sheet	대차대조표
Finance & Legal	Bankruptcy	파산, 부도
Finance & Legal	Bear market	하락장, 약세 시장
Finance & Legal	Binding	법적 구속력이 있는
Finance & Legal	Bondholder	채권 보유자
Finance & Legal	Bookkeeping	부기, 장부 기입
Finance & Legal	Bouncing check	부도 수표
Finance & Legal	Brokerage	중개 업무, 수수료
Finance & Legal	Bull market	상승장, 강세 시장
Finance & Legal	Capital gain	자본 이득, 양도 차익
Finance & Legal	Cash flow	현금 흐름
Finance & Legal	Cease and desist	중지 명령
Finance & Legal	Certified check	보증 수표
Finance & Legal	Chronological	연대순의
Finance & Legal	Clause	조항, 조목
Finance & Legal	Clearinghouse	어음 교환소
Finance & Legal	Codify	성문화하다, 체계화하다
Finance & Legal	Cognizance	재판 관할권, 인지
Finance & Legal	Collateral	담보물
Finance & Legal	Commercial paper	기업 어음
Finance & Legal	Common stock	보통주
Finance & Legal	Compensatory	배상의, 보상의
Finance & Legal	Comply with	~을 준수하다
Finance & Legal	Contractual	계약상의
Finance & Legal	Convertible bond	전환 사채
Finance & Legal	Conveyance	양도, 양도 증서
Finance & Legal	Copyright	저작권
Finance & Legal	Credit rating	신용 등급
Finance & Legal	Creditor	채권자
Finance & Legal	Debenture	무담보 사채, 채권
Finance & Legal	Debtor	채무자
Finance & Legal	Deed	증서, 행위
Finance & Legal	Default	채무 불이행, 체납
Finance & Legal	Delinquency	대금 연체, 직무 태만
Finance & Legal	Disclaimer	면책 조항, 권리 포기
Finance & Legal	Disclosure	공시, 폭로
Finance & Legal	Discount rate	할인율
Finance & Legal	Dissolution	해산, 해제
Finance & Legal	Dividend	배당금
Finance & Legal	Downgrade	등급을 강등하다
Finance & Legal	Due date	만기일, 마감일
Finance & Legal	Earnest money	계약금, 보증금
Finance & Legal	Endorse	수표에 이서하다, 지지하다
Finance & Legal	Equity financing	자기자본 조달
Finance & Legal	Escrow	조건부 날인 증서, 에스크로
Finance & Legal	Executor	유언 집행자
Finance & Legal	Fiduciary duty	수탁자 책임
Finance & Legal	Fraudulent	사기의, 속이는
Finance & Legal	Grace period	유예 기간
Finance & Legal	Gross income	총수입
Finance & Legal	Guarantor	보증인
Finance & Legal	Hypothecate	담보로 잡히다
Finance & Legal	Indemnification	배상, 보상
