Category	Word	Meaning 1	Meaning 2
변화 및 발전	Adaptation	적응/순응	각색
변화 및 발전	Adjustment	조정/조절	적응
변화 및 발전	Alter	바꾸다/변경하다	고치다
변화 및 발전	Alteration	변화/개조	수정
변화 및 발전	Amplify	증폭시키다/확대하다	더 자세히 설명하다
변화 및 발전	Antique	골동품	고대의/아주 오래된
변화 및 발전	Anxiety	불안/근심	열망/갈망
변화 및 발전	Apart	떨어져/분리되어	헤어져
변화 및 발전	Apologetic	미안해하는/사과의	변명하는
변화 및 발전	Apparatus	장치/기구	조직/체제
변화 및 발전	Apparel	의류/의상	복장을 갖추게 하다
변화 및 발전	Apparent	분명한/명백한	외관상의/겉보기의
변화 및 발전	Appeal	호소하다/매력을 끌다	항소하다/상고하다
변화 및 발전	Appear	나타나다/보이기 시작하다	~인 것 같다
변화 및 발전	Appease	달래다/유화 정책을 쓰다	진정시키다
변화 및 발전	Assimilation	흡수/동화	융합
변화 및 발전	Augment	늘리다/증가시키다	확장하다
변화 및 발전	Catalyst	촉매/기폭제	자극제
변화 및 발전	Cessation	중단/중지	휴지
변화 및 발전	Coincide	동시에 일어나다	일치하다
변화 및 발전	Consolidate	통합하다/결합하다	강화하다
변화 및 발전	Conversion	전환/개조	개종
변화 및 발전	Curtail	축소하다/줄이다	삭감하다
변화 및 발전	Decline	감소하다/거절하다	쇠퇴하다
변화 및 발전	Deteriorate	악화되다/나빠지다	퇴화하다
변화 및 발전	Deterioration	악화/하락	퇴화
변화 및 발전	Development	발달/성장	개발
변화 및 발전	Diminish	줄어들다/감소하다	깎아내리다/폄하하다
변화 및 발전	Diversification	다양화/다각화	투자 분산
변화 및 발전	Diversify	다양화하다/다각화하다	투자를 분산하다
변화 및 발전	Drastic	과감한/급격한	극단적인
변화 및 발전	Enhance	향상시키다/높이다	강화하다
변화 및 발전	Eradicate	근절하다/뿌리뽑다	소멸시키다
변화 및 발전	Escalate	확대되다/고조되다	상승하다
변화 및 발전	Evolution	진화/발전	전개
변화 및 발전	Evolve	진화하다/발전하다	발달시키다
변화 및 발전	Expansion	확장/팽창	발전
변화 및 발전	Fluctuate	변동하다/오르내리다	동요하다
변화 및 발전	Fluctuation	변동/오르내림	동요
변화 및 발전	Growth	성장/발전	증가
변화 및 발전	Impediment	방해/장애물	신체 장애
변화 및 발전	Inception	시작/개시	설립
변화 및 발전	Incorporate	포함하다/편입하다	합병하다
변화 및 발전	Initiate	시작하다/착수하다	가입시키다
변화 및 발전	Innate	타고난/천성의	고유한
변화 및 발전	Innovation	혁신/새로운 고안	쇄신
변화 및 발전	Integration	통합/융합	차별 철폐
변화 및 발전	Metamorphosis	탈바꿈/변형	변태(곤충)
변화 및 발전	Modification	수정/변경	조절
변화 및 발전	Mutation	돌연변이	변화/변형
변화 및 발전	Nurture	양육하다/육성하다	양육/육성
변화 및 발전	Obsolete	구식의/더 이상 안 쓰이는	쓸모없게 된
변화 및 발전	Perpetuate	영구화하다/지속시키다	영속하게 하다
변화 및 발전	Persistence	끈기/고집	지속됨
변화 및 발전	Phase	단계/시기	국면
변화 및 발전	Precipitate	촉발시키다/재촉하다	침전되다
변화 및 발전	Profound	깊은/심오한	엄청난
변화 및 발전	Progression	진행/점진적 발전	수열
변화 및 발전	Progressive	진보적인/점진적인	발전하는
변화 및 발전	Proliferate	급증하다/확산되다	증식하다
변화 및 발전	Prominent	유명한/두드러진	돌출된
변화 및 발전	Promote	촉진하다/홍보하다	승진시키다
변화 및 발전	Prosper	번창하다/성공하다	번영하다
변화 및 발전	Qualitative	질적인	품질의
변화 및 발전	Quantitative	양적인	수량의
변화 및 발전	Radical	근본적인/급진적인	철저한
변화 및 발전	Rational	합리적인/이성적인	이성을 가진
변화 및 발전	Refine	정제하다/개선하다	세련되게 하다
변화 및 발전	Regress	퇴보하다/역행하다	되돌아가다
변화 및 발전	Regression	퇴행/퇴보	회귀
변화 및 발전	Regulate	규제하다/조절하다	단속하다
변화 및 발전	Reinforce	강화하다/보강하다	증원하다
변화 및 발전	Relevant	관련 있는/적절한	의미가 있는
변화 및 발전	Reliable	신뢰할 수 있는	믿을 만한
변화 및 발전	Reluctant	꺼리는/주저하는	마지못해 하는
변화 및 발전	Replicate	복제하다/모사하다	되풀이하다
변화 및 발전	Restrict	제한하다/한정하다	통제하다
변화 및 발전	Retain	유지하다/보유하다	기억하다
변화 및 발전	Revise	수정하다/개정하다	검토하다
변화 및 발전	Revitalize	생기를 되찾게 하다	재활성화하다
변화 및 발전	Revolutionize	대변혁을 일으키다	혁신하다
변화 및 발전	Rigorous	엄격한/철저한	정밀한
변화 및 발전	Shift	변화/이동	교대 근무
변화 및 발전	Spontaneous	자발적인/자연스러운	즉흥적인
변화 및 발전	Stability	안정/안정성	지속성
변화 및 발전	Stagnant	고여 있는/침체된	발전이 없는
변화 및 발전	Stagnation	침체/정체	불황
변화 및 발전	Sustain	유지하다/지탱하다	피해를 입다
변화 및 발전	Transform	변형시키다	바꾸다
변화 및 발전	Transformation	변형/변화	탈바꿈
변화 및 발전	Transition	이행/과도기	변천
변화 및 발전	Turbulent	격동의/사나운	난기류의
변화 및 발전	Vanguard	선봉/선두	선구자
양 및 정도	Abundance	풍부/부유	다량
양 및 정도	Abundant	풍부한	많은
양 및 정도	Accompany	동반하다/동행하다	반주하다
양 및 정도	Accomplish	완수하다/성취하다	해내다
양 및 정도	Accord	합의/일치	부여하다/주다
양 및 정도	Account	설명/이야기	계좌/장부
양 및 정도	Accumulate	축적하다/모으다	늘어나다
양 및 정도	Accumulation	축적/누적	쌓인 더미
양 및 정도	Accurate	정확한/정밀한	올바른
양 및 정도	Accuse	고발하다/비난하다	기소하다
양 및 정도	Achieve	달성하다/이루다	성취하다
양 및 정도	Acid	산성의/신	신랄한
양 및 정도	Acknowledge	인정하다	감사를 표하다
양 및 정도	Acquire	습득하다/획득하다	인수하다
양 및 정도	Acquisition	습득/획득	인수(기업)
양 및 정도	Acute	예리한/격심한	급성의
양 및 정도	Adapt	적응하다	각색하다/맞추다
양 및 정도	Adaptation	적응/순응	각색
양 및 정도	Adequate	적절한/충분한	알맞은
양 및 정도	Adhere	고수하다/유지하다	들러붙다
양 및 정도	Adjacent	인접한/가까운	이웃한
양 및 정도	Adjust	조정하다/조절하다	적응하다
양 및 정도	Adjustment	조정/조절	적응
양 및 정도	Administer	관리하다/집행하다	투약하다
양 및 정도	Ample	충분한/풍부한	넓은
양 및 정도	Appreciable	주목할 만한/감지할 수 있는	상당한
양 및 정도	Artisan	장인/기능공	숙련공
양 및 정도	Artistic	예술적인/미적 감각이 있는	아름다운
양 및 정도	Ascend	오르다/올라가다	높아지다
양 및 정도	Ascertain	알아내다/확인하다	규명하다
양 및 정도	Ascribe	~의 탓으로 돌리다	속하게 하다
양 및 정도	Aspect	측면/양상	방향/견해
양 및 정도	Aspiration	열망/포부	포기성 호흡
양 및 정도	Aspire	열망하다/바라다	동경하다
양 및 정도	Assail	공격하다/괴롭히다	습격하다
양 및 정도	Assault	폭행/공격	맹공격을 가하다
양 및 정도	Deficit	적자/부족액	결손
양 및 정도	Degree	정도/등급	학위/도(온도)
양 및 정도	Diminish	줄어들다/약화시키다	폄하하다
양 및 정도	Drastic	급격한/과감한	극단적인
양 및 정도	Excess	과잉/초과	과도함
양 및 정도	Exponential	기하급수적인	지수의
양 및 정도	Fraction	부분/일부	분수
양 및 정도	Infinite	무한한/끝없는	막대한
양 및 정도	Magnitude	규모/거대함	지진 규모
양 및 정도	Marginal	미미한/중요하지 않은	주변부의
양 및 정도	Massive	거대한/엄청난	심각한
양 및 정도	Meager	메마른/결핍된	불충분한
양 및 정도	Minor	소수의/중요치 않은	미성년자/부전공
양 및 정도	Minute	극미한/미세한	의사록/분
양 및 정도	Multitude	다수/군중	수많음
양 및 정도	Profound	깊은/심오한	엄청난
양 및 정도	Scarcity	부족/결핍	희귀함
양 및 정도	Substantial	상당한/실질적인	튼튼한
양 및 정도	Sufficient	충분한/흡족한	알맞은
양 및 정도	Superfluous	불필요한/과잉의	여분의
양 및 정도	Surplus	과잉/잉여	흑자
양 및 정도	Trivial	사소한/하찮은	평범한
양 및 정도	Vast	광대한/거대한	막대한
양 및 정도	Volume	부피/양	책/권
역사 및 사회	Abolish	폐지하다	없애다
역사 및 사회	Administration	행정부/관리	집행
역사 및 사회	Administrative	행정의/관리의	경영의
역사 및 사회	Agrarian	농업의/토지의	농민의
역사 및 사회	Agriculture	농업/농학	축산
역사 및 사회	Alliance	동맹/연합	제휴
역사 및 사회	Anarchy	무정부 상태/혼란	난장판
역사 및 사회	Ancestors	조상/선조	기원
역사 및 사회	Ancestry	조상/가문	기원
역사 및 사회	Annihilate	전멸시키다	완패시키다
역사 및 사회	Apprentice	견습생/도제	견습생으로 삼다
역사 및 사회	Approach	접근하다/다가가다	방법/접근법
역사 및 사회	Appropriate	적절한/알맞은	도용하다/책정하다
역사 및 사회	Approval	승인/인정	찬성
역사 및 사회	Approve	찬성하다/승인하다	좋다고 인정하다
역사 및 사회	Approximate	대략의/가까운	비슷하다/가깝다
역사 및 사회	Apt	적절한/~하기 쉬운	소질 있는
역사 및 사회	Aptitude	소질/적성	경향
역사 및 사회	Aquatic	수생의/물의	수중에서 자라는
역사 및 사회	Aqueduct	송수관/수도교	도수망
역사 및 사회	Archaeological	고고학의	유적의
역사 및 사회	Archaeology	고고학	고대 유적 연구
역사 및 사회	Artifact	인공 유물/가공품	문화재
역사 및 사회	Authority	권위/권력	당국/정부
역사 및 사회	Autocracy	독재 정치/전제 정치	독재 국가
역사 및 사회	Bureaucracy	관료주의/관료 체제	번거로운 절차
역사 및 사회	Capitalism	자본주의	자본 유통
역사 및 사회	Civilization	문명/문명사회	문화
역사 및 사회	Colonial	식민지의	식민지풍의
역사 및 사회	Colonization	식민지화	군락 형성(생물)
역사 및 사회	Colony	식민지/집단 거주지	군집(생물)
역사 및 사회	Commerce	상업/무역	상거래
역사 및 사회	Constitution	헌법	체질/구조
역사 및 사회	Democracy	민주주의/민주국가	평등
역사 및 사회	Diplomacy	외교/외교술	수완
역사 및 사회	Diplomatic	외교의/외교적인	수완이 있는
역사 및 사회	Domestic	국내의	가정의/길들여진
역사 및 사회	Dynasty	왕조/시대	지배자 가문
역사 및 사회	Empire	제국/거대 기업	통치권
역사 및 사회	Enactment	법률 제정	입법/법령
역사 및 사회	Era	시대/시기	연대
역사 및 사회	Feudalism	봉건제/봉건주의	구체제
역사 및 사회	Flourish	번창하다/잘 자라다	휘두르다
역사 및 사회	Heritage	유산/전통	상속 재산
역사 및 사회	Hierarchy	계급 구조/서열	지배층
역사 및 사회	Indigenous	원산의/토착의	고유한
역사 및 사회	Legislate	법률을 제정하다	규제하다
역사 및 사회	Liberation	해방/해방 운동	석방
역사 및 사회	Migration	이주/이동	이동하는 무리
역사 및 사회	Monarchy	군주제/군주국	왕정
역사 및 사회	Nomadic	유목의/방랑하는	이주하는
역사 및 사회	Predecessor	전임자	이전의 것/전신
역사 및 사회	Rebellion	반란/모반	반항
역사 및 사회	Sovereign	주권이 있는/독립된	군주/국왕
역사 및 사회	Sovereignty	주권/통치권	독립국
역사 및 사회	Stratification	계층화	단층 형성
역사 및 사회	Substitute	대체하다/대신하다	대리인/대체물
역사 및 사회	Subtle	미묘한/감지하기 힘든	교묘한
역사 및 사회	Sufficient	충분한/흡족한	알맞은
역사 및 사회	Suffrage	투표권/참정권	선거권
역사 및 사회	Superficial	표면적인/피상적인	깊이 없는
역사 및 사회	Superfluous	불필요한/과잉의	여분의
역사 및 사회	Suppress	진압하다	참다/억제하다
역사 및 사회	Surplus	과잉/잉여	흑자
역사 및 사회	Surveillance	감시/감독	정밀 조사
역사 및 사회	Sustain	유지하다/지탱하다	피해를 입다/견디다
역사 및 사회	Symbiosis	공생	긴밀한 관계
역사 및 사회	Symmetry	대칭/균형	조화
역사 및 사회	Synthetic	합성의/인조의	종합적인
역사 및 사회	Systematic	체계적인/조직적인	계획적인
역사 및 사회	Tangible	유형의/실재하는	만져서 알 수 있는
역사 및 사회	Temporary	일시적인/임시의	덧없는
역사 및 사회	Terminate	종결하다/끝내다	종점에 도달하다
역사 및 사회	Terrestrial	육지의/지구의	육생의
역사 및 사회	Theoretical	이론적인	가정의
역사 및 사회	Tragedy	비극/참사	비극적 사건
역사 및 사회	Transform	변형시키다/바꾸다	개조하다
역사 및 사회	Treaty	조약/협정	계약
역사 및 사회	Tyranny	압제/폭정	독재 행위
역사 및 사회	Urban	도시의/도읍의	도회지의
역사 및 사회	Urbanization	도시화	도시 집중
예술 및 문화	Abstract art	추상 예술/추상 미술	비구상 미술
예술 및 문화	Aesthetic	미적인/미학의	미적 특질
예술 및 문화	Aestheticism	탐미주의/예술지상주의	미학
예술 및 문화	Alternative	대안/대체 가능한	양자택일
예술 및 문화	Altitude	고도/높이	정점
예술 및 문화	Altruism	이타주의/이타심	상생
예술 및 문화	Amass	모으다/축적하다	쌓다
예술 및 문화	Amaze	놀라게 하다	감탄시키다
예술 및 문화	Ambiguous	모호한	다의적인/두 가지 뜻으로 해석되는
예술 및 문화	Ambition	야망/포부	의욕
예술 및 문화	Ambivalent	상반된 감정을 가진	모호한
예술 및 문화	Amend	개정하다/수정하다	고치다
예술 및 문화	Ample	충분한/풍부한	넓은
예술 및 문화	Amplify	증폭시키다/확대하다	더 자세히 설명하다
예술 및 문화	Amuse	즐겁게 하다	웃기다
예술 및 문화	Analogy	유추/비교	공통점
예술 및 문화	Analyze	분석하다	검토하다
예술 및 문화	Anarchy	무정부 상태/혼란	난장판
예술 및 문화	Ancestry	조상/가문	기원
예술 및 문화	Anchor	닻/고정장치	정착시키다/고정하다
예술 및 문화	Ancient	고대의/아주 오래된	구식의
예술 및 문화	Anecdote	일화/개인적인 진술	비화
예술 및 문화	Anger	분노/화	화나게 하다
예술 및 문화	Artifact	인공 유물/공예품	가공물
예술 및 문화	Astute	약삭빠른/영악한	기민한
예술 및 문화	Asymmetry	비대칭/불균형	부조화
예술 및 문화	Atelier	작업장/아틀리에	화실
예술 및 문화	Atheism	무신론	종교 거부
예술 및 문화	Atmosphere	대기/공기	분위기
예술 및 문화	Atom	원자	극미량
예술 및 문화	Attach	부착하다/첨부하다	의미를 두다
예술 및 문화	Attachment	애착/믿음	부착물/첨부 파일
예술 및 문화	Attain	달성하다/이루다	도달하다
예술 및 문화	Attainment	성취/달성	학식/재능
예술 및 문화	Avant-garde	전위적인/아방가르드	선구적인
예술 및 문화	Baroque	바로크 양식의	화려한/장식적인
예술 및 문화	Classical	고전적인/클래식의	전형적인
예술 및 문화	Contemporary	동시대의/현대의	동년배
예술 및 문화	Durable	내구성이 있는/오래가는	영속성 있는
예술 및 문화	Eccentric	별난/괴짜의	중심을 벗어난
예술 및 문화	Eminent	저명한/탁외한	눈에 띄는
예술 및 문화	Folklore	민속/전통 문화	신화
예술 및 문화	Genre	장르/유형	갈래
예술 및 문화	Iconography	도상학/도상법	시각 이미지
예술 및 문화	Impressionism	인상주의	인상파
예술 및 문화	Literary	문학의/문학적인	글을 좋아하는
예술 및 문화	Melody	선율/멜로디	악곡
예술 및 문화	Modernism	모더니즘/현대주의	근대 사상
예술 및 문화	Mythology	신화/신화집	근거 없는 믿음
예술 및 문화	Obsolete	구식의/사용되지 않는	퇴행한
예술 및 문화	Patronage	후원/단골	임면권
예술 및 문화	Primitive	원시의/원시적인	근본적인
예술 및 문화	Renaissance	르네상스/부흥	부활
예술 및 문화	Sculpture	조각/조각품	조각하다
예술 및 문화	Secular	세속적인/종교와 관련 없는	비성직자의
예술 및 문화	Sophisticated	정교한/세련된	복잡한
예술 및 문화	Symbolism	상징주의/상징적 표현	상징물
예술 및 문화	Vivid	생생한/선명한	활기찬
인지 및 심리	Acute	격심한/예리한	급성의
인지 및 심리	Aesthetic	미적인/미학의	미감의
인지 및 심리	Ambiguous	모호한	다의적인/두 가지 뜻으로 해석되는
인지 및 심리	Ambivalent	상반된 감정을 가진	모호한
인지 및 심리	Arbitrary	임의적인/제멋대로인	독단적인
인지 및 심리	Archaeology	고고학	고대 유적 연구
인지 및 심리	Archaic	고대의/고풍의	구식의/태고의
인지 및 심리	Architect	건축가/설계자	기획자
인지 및 심리	Architecture	건축/건축학	구조/설계
인지 및 심리	Archive	기록 보관소	기록 보관소에 보관하다
인지 및 심리	Ardent	열렬한/열정적인	불타는듯한
인지 및 심리	Arduous	몹시 힘든/고된	끈기 필요한
인지 및 심리	Area	지역/구역	면적/분야
인지 및 심리	Argue	주장하다/언급하다	말다툼하다
인지 및 심리	Awareness	의식/관심	알고 있음
인지 및 심리	Behavioral	행동의/행동주의의	품행의
인지 및 심리	Bias	편견/성향	편향을 갖게 하다
인지 및 심리	Cognition	인지/인식	지각
인지 및 심리	Cognitive	인지의/인식의	지적인
인지 및 심리	Conscious	의식하는/알고 있는	지각 있는
인지 및 심리	Delusion	망상/착각	오해
인지 및 심리	Discerning	안목이 있는/통찰력 있는	식별하는
인지 및 심리	Emotional	감정적인/정서의	감동적인
인지 및 심리	Empathy	공감/감정 이입	이해
인지 및 심리	Illusion	환상/오해	착각
인지 및 심리	Incentive	장려책/인센티브	동기
인지 및 심리	Insight	통찰력/간파	이해
인지 및 심리	Intellect	지성/지적 능력	지식인
인지 및 심리	Intellectual	지적인/지식인의	지식인
인지 및 심리	Intentional	의도적인/고의의	계획된
인지 및 심리	Intuition	직관/직감	통찰
인지 및 심리	Intuitive	직관적인/직감에 의한	이해하기 쉬운
인지 및 심리	Manifest	명백히 나타내다	분명한/명백한
인지 및 심리	Memory	기억/추억	기억 장치
인지 및 심리	Motivation	동기 부여/자극	열의
인지 및 심리	Neurosis	신경증/노이로제	강박증
인지 및 심리	Objective	객관적인	목표/목적
인지 및 심리	Perceive	인지하다/알아차리다	~로 여기다
인지 및 심리	Perception	지각/인식	자각
인지 및 심리	Psychological	심리적인/심리학적인	정신의
인지 및 심리	Psychology	심리학/심리 상태	생리
인지 및 심리	Rational	합리적인/이성적인	이성을 가진
인지 및 심리	Rationality	합리성/이성	순리
인지 및 심리	Recognition	인식/인정	알아봄
인지 및 심리	Response	반응/대응	대답
인지 및 심리	Sensation	감각/느낌	대소동/돌풍
인지 및 심리	Sensory	감각의/知覺의	감각 기관의
인지 및 심리	Skepticism	회의론/의심	회의적인 태도
인지 및 심리	Stimulate	자극하다/격려하다	활성화하다
인지 및 심리	Stimulus	자극/격려	자극제
인지 및 심리	Subconscious	잠재의식의	무의식적인
인지 및 심리	Subjective	주관적인	개인의
인지 및 심리	Subliminal	알지 못하는 사이에 영향을 미치는	잠재의식의
인지 및 심리	Transient	일시적인/순간적인	단기 체류자
인지 및 심리	Transition	이행/과도기	변천
인지 및 심리	Transmit	전송하다/방송하다	지르다/페하시키다
인지 및 심리	Transparent	투명한	명백한/이해하기 쉬운
인지 및 심리	Trauma	정신적 외상/트라우마	부상
인지 및 심리	Trivial	사소한/하찮은	평범한
인지 및 심리	Turbulent	격동의/사나운	난기류의
인지 및 심리	Unprecedented	전례 없는/새로운	파격적인
인지 및 심리	Urban	도시의/도읍의	도회지의
인지 및 심리	Utility	유용성/실용성	공공사업/공공요금
인지 및 심리	Vague	모호한/희미한	희박한
인지 및 심리	Validate	입증하다/인증하다	유효하게 하다
인지 및 심리	Validity	유효성/타당성	정당성
인지 및 심리	Vanish	사라지다/소멸하다	자취를 감추다
인지 및 심리	Variable	변수/가변적인 요인	변화하기 쉬운
인지 및 심리	Vary	다르다/달라지다	바꾸다
인지 및 심리	Vast	광대한/거대한	막대한
인지 및 심리	Verify	증명하다/확인하다	입증하다
인지 및 심리	Versatile	다재다능한	다용도의
인지 및 심리	Viable	실행 가능한	독자 생존 가능한
인지 및 심리	Vivid	생생한/선명한	활기찬
자연 및 과학	Abyssal	심해의/끝없이 깊은	심연의
자연 및 과학	Adaptability	적응성/순응성	융통성
자연 및 과학	Algae	조류/말(식물)	수중 식물
자연 및 과학	Append	덧붙이다/첨부하다	추가하다
자연 및 과학	Appetite	식욕	욕구/갈망
자연 및 과학	Applaud	박수갈채를 보내다	칭찬하다
자연 및 과학	Applicant	지원자/신청자	응모자
자연 및 과학	Application	적용/응용	지원/신청
자연 및 과학	Appoint	임명하다/지정하다	정하다
자연 및 과학	Appraisal	평가/감정	산정
자연 및 과학	Appreciable	주목할 만한/감지할 수 있는	상당한
자연 및 과학	Appreciate	고마워하다/가치를 인정하다	진가가 오르다
자연 및 과학	Apprehend	체포하다	파악하다/이해하다
자연 및 과학	Aquatic	수생의/물의	수중에서 자라는
자연 및 과학	Arid	건조한/메마른	무미건조한
자연 및 과학	Atmosphere	대기/공기	분위기
자연 및 과학	Atmospheric	대기의/기상의	분위기 있는
자연 및 과학	Barren	척박한/황량한	열매가 안 열리는/불임의
자연 및 과학	Biodiversity	생물 다양성	생태계 다양성
자연 및 과학	Biosphere	생물권	생태계
자연 및 과학	Canopy	임관/숲의 상층 지붕 모양	덮개
자연 및 과학	Canyon	협곡	골짜기
자연 및 과학	Catastrophe	대참사/재앙	파멸
자연 및 과학	Cavity	구멍/빈 부분	충치
자연 및 과학	Celestial	하늘의/천체의	천상의
